cod_Municipio_Ibge,nom_Municipio,Unidades Consumidoras Ligadas
1100015,Alta Floresta Doeste,1392
1100023,Ariquemes,2013
1100031,Cabixi,369
1100049,Cacoal,3640
1100056,Cerejeiras,209
1100064,Colorado do Oeste,536
1100072,Corumbiara,1293
1100080,Costa Marques,1453
1100098,Espigão Doeste,2390
1100106,Guajará-Mirim,1893
1100114,Jaru,1026
1100122,Ji-Paraná,1956
1100130,Machadinho Doeste,5955
1100148,Nova Brasilândia Doeste,2042
1100155,Ouro Preto do Oeste,1662
1100189,Pimenta Bueno,1853
1100205,Porto Velho,16143
1100254,Presidente Médici,1088
1100262,Rio Crespo,535
1100288,Rolim de Moura,1840
1100296,Santa Luzia Doeste,690
1100304,Vilhena,2381
1100320,São Miguel do Guaporé,1649
1100338,Nova Mamoré,4413
1100346,Alvorada Doeste,1702
1100379,Alto Alegre dos Parecis,1111
1100403,Alto Paraíso,1832
1100452,Buritis,3396
1100502,Novo Horizonte do Oeste,896
1100601,Cacaulândia,369
1100700,Campo Novo de Rondônia,1284
1100809,Candeias do Jamari,3232
1100908,Castanheiras,402
1100924,Chupinguaia,1127
1100940,Cujubim,2140
1101005,Governador Jorge Teixeira,1146
1101104,Itapuã do Oeste,968
1101203,Ministro Andreazza,911
1101302,Mirante da Serra,954
1101401,Monte Negro,1740
1101435,Nova União,1045
1101450,Parecis,1173
1101468,Pimenteiras do Oeste,351
1101476,Primavera de Rondônia,285
1101484,São Felipe Doeste,679
1101492,São Francisco do Guaporé,1196
1101500,Seringueiras,1187
1101559,Teixeirópolis,507
1101609,Theobroma,911
1101708,Urupá,1323
1101757,Vale do Anari,1730
1101807,Vale do Paraíso,523
1200013,Acrelândia,2692
1200054,Assis Brasil,939
1200104,Brasiléia,3571
1200138,Bujari,2710
1200179,Capixaba,2250
1200203,Cruzeiro do Sul,6000
1200252,Epitaciolândia,2364
1200302,Feijó,2446
1200328,Jordão,289
1200336,Mâncio Lima,1292
1200344,Manoel Urbano,1225
1200351,Marechal Thaumaturgo,1654
1200385,Plácido de Castro,2176
1200393,Porto Walter,981
1200401,Rio Branco,9521
1200427,Rodrigues Alves,2759
1200435,Santa Rosa do Purus,103
1200450,Senador Guiomard,2657
1200500,Sena Madureira,4328
1200609,Tarauacá,2235
1200708,Xapuri,2490
1200807,Porto Acre,4229
1300029,Alvarães,1345
1300060,Amaturá,944
1300086,Anamã,1299
1300102,Anori,977
1300144,Apuí,1464
1300201,Atalaia do Norte,238
1300300,Autazes,5694
1300409,Barcelos,555
1300508,Barreirinha,3926
1300607,Benjamin Constant,2936
1300631,Beruri,1938
1300680,Boa Vista do Ramos,1965
