"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Moradores em domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1100015","Alta Floresta D'Oeste (RO)","21440","Pessoas"
"MU","1100023","Ariquemes (RO)","96152","Pessoas"
"MU","1100031","Cabixi (RO)","5351","Pessoas"
"MU","1100049","Cacoal (RO)","86494","Pessoas"
"MU","1100056","Cerejeiras (RO)","15798","Pessoas"
"MU","1100064","Colorado do Oeste (RO)","15663","Pessoas"
"MU","1100072","Corumbiara (RO)","7503","Pessoas"
"MU","1100080","Costa Marques (RO)","12526","Pessoas"
"MU","1100098","Espigão D'Oeste (RO)","29329","Pessoas"
"MU","1100106","Guajará-Mirim (RO)","38963","Pessoas"
"MU","1100114","Jaru (RO)","50354","Pessoas"
"MU","1100122","Ji-Paraná (RO)","123752","Pessoas"
"MU","1100130","Machadinho D'Oeste (RO)","30428","Pessoas"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","15674","Pessoas"
"MU","1100155","Ouro Preto do Oeste (RO)","34833","Pessoas"
"MU","1100189","Pimenta Bueno (RO)","34768","Pessoas"
"MU","1100205","Porto Velho (RO)","457093","Pessoas"
"MU","1100254","Presidente Médici (RO)","19274","Pessoas"
"MU","1100262","Rio Crespo (RO)","3456","Pessoas"
"MU","1100288","Rolim de Moura (RO)","56137","Pessoas"
"MU","1100296","Santa Luzia D'Oeste (RO)","7391","Pessoas"
"MU","1100304","Vilhena (RO)","95329","Pessoas"
"MU","1100320","São Miguel do Guaporé (RO)","21548","Pessoas"
"MU","1100338","Nova Mamoré (RO)","25363","Pessoas"
"MU","1100346","Alvorada D'Oeste (RO)","13104","Pessoas"
"MU","1100379","Alto Alegre dos Parecis (RO)","11460","Pessoas"
"MU","1100403","Alto Paraíso (RO)","16289","Pessoas"
"MU","1100452","Buritis (RO)","27827","Pessoas"
"MU","1100502","Novo Horizonte do Oeste (RO)","7663","Pessoas"
"MU","1100601","Cacaulândia (RO)","4145","Pessoas"
"MU","1100700","Campo Novo de Rondônia (RO)","8818","Pessoas"
"MU","1100809","Candeias do Jamari (RO)","22282","Pessoas"
"MU","1100908","Castanheiras (RO)","3229","Pessoas"
"MU","1100924","Chupinguaia (RO)","9285","Pessoas"
"MU","1100940","Cujubim (RO)","14825","Pessoas"
"MU","1101005","Governador Jorge Teixeira (RO)","7984","Pessoas"
"MU","1101104","Itapuã do Oeste (RO)","8543","Pessoas"
"MU","1101203","Ministro Andreazza (RO)","6466","Pessoas"
"MU","1101302","Mirante da Serra (RO)","9235","Pessoas"
"MU","1101401","Monte Negro (RO)","11516","Pessoas"
"MU","1101435","Nova União (RO)","6180","Pessoas"
"MU","1101450","Parecis (RO)","4078","Pessoas"
"MU","1101468","Pimenteiras do Oeste (RO)","2108","Pessoas"
"MU","1101476","Primavera de Rondônia (RO)","3076","Pessoas"
"MU","1101484","São Felipe D'Oeste (RO)","5256","Pessoas"
"MU","1101492","São Francisco do Guaporé (RO)","16250","Pessoas"
"MU","1101500","Seringueiras (RO)","11158","Pessoas"
"MU","1101559","Teixeirópolis (RO)","4256","Pessoas"
"MU","1101609","Theobroma (RO)","8112","Pessoas"
"MU","1101708","Urupá (RO)","10722","Pessoas"
"MU","1101757","Vale do Anari (RO)","7717","Pessoas"
"MU","1101807","Vale do Paraíso (RO)","6473","Pessoas"
"MU","1200013","Acrelândia (AC)","13978","Pessoas"
"MU","1200054","Assis Brasil (AC)","8090","Pessoas"
"MU","1200104","Brasiléia (AC)","25931","Pessoas"
"MU","1200138","Bujari (AC)","12917","Pessoas"
"MU","1200179","Capixaba (AC)","10370","Pessoas"
"MU","1200203","Cruzeiro do Sul (AC)","91147","Pessoas"
"MU","1200252","Epitaciolândia (AC)","18739","Pessoas"
"MU","1200302","Feijó (AC)","35345","Pessoas"
"MU","1200328","Jordão (AC)","9201","Pessoas"
"MU","1200336","Mâncio Lima (AC)","19224","Pessoas"
"MU","1200344","Manoel Urbano (AC)","11989","Pessoas"
"MU","1200351","Marechal Thaumaturgo (AC)","17093","Pessoas"
"MU","1200385","Plácido de Castro (AC)","16540","Pessoas"
"MU","1200393","Porto Walter (AC)","10735","Pessoas"
"MU","1200401","Rio Branco (AC)","361869","Pessoas"
"MU","1200427","Rodrigues Alves (AC)","14919","Pessoas"
"MU","1200435","Santa Rosa do Purus (AC)","6717","Pessoas"
"MU","1200450","Senador Guiomard (AC)","20993","Pessoas"
