"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1100015","Alta Floresta D'Oeste (RO)","7695","Domicílios"
"MU","1100023","Ariquemes (RO)","34768","Domicílios"
"MU","1100031","Cabixi (RO)","1967","Domicílios"
"MU","1100049","Cacoal (RO)","31917","Domicílios"
"MU","1100056","Cerejeiras (RO)","5873","Domicílios"
"MU","1100064","Colorado do Oeste (RO)","5991","Domicílios"
"MU","1100072","Corumbiara (RO)","2840","Domicílios"
"MU","1100080","Costa Marques (RO)","4161","Domicílios"
"MU","1100098","Espigão D'Oeste (RO)","10470","Domicílios"
"MU","1100106","Guajará-Mirim (RO)","11803","Domicílios"
"MU","1100114","Jaru (RO)","18947","Domicílios"
"MU","1100122","Ji-Paraná (RO)","45016","Domicílios"
"MU","1100130","Machadinho D'Oeste (RO)","10841","Domicílios"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","5798","Domicílios"
"MU","1100155","Ouro Preto do Oeste (RO)","13323","Domicílios"
"MU","1100189","Pimenta Bueno (RO)","12351","Domicílios"
"MU","1100205","Porto Velho (RO)","151905","Domicílios"
"MU","1100254","Presidente Médici (RO)","7230","Domicílios"
"MU","1100262","Rio Crespo (RO)","1250","Domicílios"
"MU","1100288","Rolim de Moura (RO)","20991","Domicílios"
"MU","1100296","Santa Luzia D'Oeste (RO)","2758","Domicílios"
"MU","1100304","Vilhena (RO)","34975","Domicílios"
"MU","1100320","São Miguel do Guaporé (RO)","7884","Domicílios"
"MU","1100338","Nova Mamoré (RO)","8447","Domicílios"
"MU","1100346","Alvorada D'Oeste (RO)","4814","Domicílios"
"MU","1100379","Alto Alegre dos Parecis (RO)","4036","Domicílios"
"MU","1100403","Alto Paraíso (RO)","5762","Domicílios"
"MU","1100452","Buritis (RO)","9905","Domicílios"
"MU","1100502","Novo Horizonte do Oeste (RO)","2798","Domicílios"
"MU","1100601","Cacaulândia (RO)","1483","Domicílios"
"MU","1100700","Campo Novo de Rondônia (RO)","3066","Domicílios"
"MU","1100809","Candeias do Jamari (RO)","7431","Domicílios"
"MU","1100908","Castanheiras (RO)","1198","Domicílios"
"MU","1100924","Chupinguaia (RO)","3206","Domicílios"
"MU","1100940","Cujubim (RO)","5203","Domicílios"
"MU","1101005","Governador Jorge Teixeira (RO)","2890","Domicílios"
"MU","1101104","Itapuã do Oeste (RO)","2910","Domicílios"
"MU","1101203","Ministro Andreazza (RO)","2383","Domicílios"
"MU","1101302","Mirante da Serra (RO)","3508","Domicílios"
"MU","1101401","Monte Negro (RO)","4223","Domicílios"
"MU","1101435","Nova União (RO)","2230","Domicílios"
"MU","1101450","Parecis (RO)","1482","Domicílios"
"MU","1101468","Pimenteiras do Oeste (RO)","740","Domicílios"
"MU","1101476","Primavera de Rondônia (RO)","1133","Domicílios"
"MU","1101484","São Felipe D'Oeste (RO)","1962","Domicílios"
"MU","1101492","São Francisco do Guaporé (RO)","5799","Domicílios"
"MU","1101500","Seringueiras (RO)","3951","Domicílios"
"MU","1101559","Teixeirópolis (RO)","1582","Domicílios"
"MU","1101609","Theobroma (RO)","3007","Domicílios"
"MU","1101708","Urupá (RO)","3950","Domicílios"
"MU","1101757","Vale do Anari (RO)","2800","Domicílios"
"MU","1101807","Vale do Paraíso (RO)","2446","Domicílios"
"MU","1200013","Acrelândia (AC)","4461","Domicílios"
"MU","1200054","Assis Brasil (AC)","2426","Domicílios"
"MU","1200104","Brasiléia (AC)","8665","Domicílios"
"MU","1200138","Bujari (AC)","4193","Domicílios"
"MU","1200179","Capixaba (AC)","3468","Domicílios"
"MU","1200203","Cruzeiro do Sul (AC)","26737","Domicílios"
"MU","1200252","Epitaciolândia (AC)","6477","Domicílios"
"MU","1200302","Feijó (AC)","9366","Domicílios"
"MU","1200328","Jordão (AC)","2003","Domicílios"
"MU","1200336","Mâncio Lima (AC)","5678","Domicílios"
"MU","1200344","Manoel Urbano (AC)","3242","Domicílios"
"MU","1200351","Marechal Thaumaturgo (AC)","4321","Domicílios"
"MU","1200385","Plácido de Castro (AC)","5552","Domicílios"
"MU","1200393","Porto Walter (AC)","2611","Domicílios"
"MU","1200401","Rio Branco (AC)","123861","Domicílios"
"MU","1200427","Rodrigues Alves (AC)","4197","Domicílios"
"MU","1200435","Santa Rosa do Purus (AC)","1344","Domicílios"
"MU","1200450","Senador Guiomard (AC)","6961","Domicílios"
"MU","1200500","Sena Madureira (AC)","12627","Domicílios"
"MU","1200609","Tarauacá (AC)","11273","Domicílios"
"MU","1200708","Xapuri (AC)","6090","Domicílios"
"MU","1200807","Porto Acre (AC)","5448","Domicílios"
"MU","1300029","Alvarães (AM)","3398","Domicílios"
"MU","1300060","Amaturá (AM)","2156","Domicílios"
"MU","1300086","Anamã (AM)","2316","Domicílios"
"MU","1300102","Anori (AM)","4147","Domicílios"
"MU","1300144","Apuí (AM)","5789","Domicílios"
"MU","1300201","Atalaia do Norte (AM)","3390","Domicílios"
"MU","1300300","Autazes (AM)","11007","Domicílios"
"MU","1300409","Barcelos (AM)","4253","Domicílios"
"MU","1300508","Barreirinha (AM)","6895","Domicílios"
"MU","1300607","Benjamin Constant (AM)","7742","Domicílios"
"MU","1300631","Beruri (AM)","4556","Domicílios"
"MU","1300680","Boa Vista do Ramos (AM)","4594","Domicílios"
"MU","1300706","Boca do Acre (AM)","10162","Domicílios"
"MU","1300805","Borba (AM)","7986","Domicílios"
"MU","1300839","Caapiranga (AM)","2967","Domicílios"
"MU","1300904","Canutama (AM)","4552","Domicílios"
"MU","1301001","Carauari (AM)","7241","Domicílios"
"MU","1301100","Careiro (AM)","9067","Domicílios"
"MU","1301159","Careiro da Várzea (AM)","5780","Domicílios"
"MU","1301209","Coari (AM)","17564","Domicílios"
"MU","1301308","Codajás (AM)","5571","Domicílios"
"MU","1301407","Eirunepé (AM)","8130","Domicílios"
"MU","1301506","Envira (AM)","4185","Domicílios"
"MU","1301605","Fonte Boa (AM)","5345","Domicílios"
"MU","1301654","Guajará (AM)","3611","Domicílios"
"MU","1301704","Humaitá (AM)","14416","Domicílios"
"MU","1301803","Ipixuna (AM)","4806","Domicílios"
"MU","1301852","Iranduba (AM)","17757","Domicílios"
"MU","1301902","Itacoatiara (AM)","27664","Domicílios"
"MU","1301951","Itamarati (AM)","2333","Domicílios"
"MU","1302009","Itapiranga (AM)","2599","Domicílios"
"MU","1302108","Japurá (AM)","1735","Domicílios"
"MU","1302207","Juruá (AM)","2529","Domicílios"
"MU","1302306","Jutaí (AM)","4845","Domicílios"
"MU","1302405","Lábrea (AM)","11269","Domicílios"
"MU","1302504","Manacapuru (AM)","26883","Domicílios"
"MU","1302553","Manaquiri (AM)","4956","Domicílios"
"MU","1302603","Manaus (AM)","630062","Domicílios"
"MU","1302702","Manicoré (AM)","12170","Domicílios"
"MU","1302801","Maraã (AM)","3021","Domicílios"
"MU","1302900","Maués (AM)","13271","Domicílios"
"MU","1303007","Nhamundá (AM)","4570","Domicílios"
"MU","1303106","Nova Olinda do Norte (AM)","6480","Domicílios"
"MU","1303205","Novo Airão (AM)","4165","Domicílios"
