"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1100015","Alta Floresta D'Oeste (RO)","7590","Pessoas","1297","Pessoas","46","Pessoas","11845","Pessoas","715","Pessoas"
"MU","1100023","Ariquemes (RO)","31263","Pessoas","9619","Pessoas","317","Pessoas","55534","Pessoas","97","Pessoas"
"MU","1100031","Cabixi (RO)","2136","Pessoas","345","Pessoas","12","Pessoas","2856","Pessoas","2","Pessoas"
"MU","1100049","Cacoal (RO)","32304","Pessoas","6704","Pessoas","365","Pessoas","45836","Pessoas","1675","Pessoas"
"MU","1100056","Cerejeiras (RO)","6213","Pessoas","1025","Pessoas","59","Pessoas","8580","Pessoas","13","Pessoas"
"MU","1100064","Colorado do Oeste (RO)","5577","Pessoas","1199","Pessoas","40","Pessoas","8835","Pessoas","12","Pessoas"
"MU","1100072","Corumbiara (RO)","2221","Pessoas","634","Pessoas","8","Pessoas","4636","Pessoas","20","Pessoas"
"MU","1100080","Costa Marques (RO)","3221","Pessoas","1272","Pessoas","13","Pessoas","7710","Pessoas","410","Pessoas"
"MU","1100098","Espigão D'Oeste (RO)","11918","Pessoas","1995","Pessoas","41","Pessoas","14817","Pessoas","643","Pessoas"
"MU","1100106","Guajará-Mirim (RO)","6758","Pessoas","3391","Pessoas","111","Pessoas","23781","Pessoas","5346","Pessoas"
"MU","1100114","Jaru (RO)","15665","Pessoas","4835","Pessoas","73","Pessoas","29949","Pessoas","67","Pessoas"
"MU","1100122","Ji-Paraná (RO)","40561","Pessoas","10928","Pessoas","336","Pessoas","70947","Pessoas","1561","Pessoas"
"MU","1100130","Machadinho D'Oeste (RO)","8174","Pessoas","2962","Pessoas","37","Pessoas","19495","Pessoas","39","Pessoas"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","5492","Pessoas","1268","Pessoas","52","Pessoas","8854","Pessoas","13","Pessoas"
"MU","1100155","Ouro Preto do Oeste (RO)","11572","Pessoas","2983","Pessoas","123","Pessoas","20322","Pessoas","44","Pessoas"
"MU","1100189","Pimenta Bueno (RO)","11876","Pessoas","2588","Pessoas","134","Pessoas","19941","Pessoas","539","Pessoas"
"MU","1100205","Porto Velho (RO)","120941","Pessoas","43467","Pessoas","1287","Pessoas","292098","Pessoas","2628","Pessoas"
"MU","1100254","Presidente Médici (RO)","6760","Pessoas","1180","Pessoas","46","Pessoas","11334","Pessoas","7","Pessoas"
"MU","1100262","Rio Crespo (RO)","1083","Pessoas","315","Pessoas","14","Pessoas","2050","Pessoas","9","Pessoas"
"MU","1100288","Rolim de Moura (RO)","20003","Pessoas","4213","Pessoas","140","Pessoas","31949","Pessoas","97","Pessoas"
"MU","1100296","Santa Luzia D'Oeste (RO)","2468","Pessoas","656","Pessoas","35","Pessoas","4258","Pessoas","2","Pessoas"
"MU","1100304","Vilhena (RO)","37752","Pessoas","6946","Pessoas","256","Pessoas","50286","Pessoas","589","Pessoas"
"MU","1100320","São Miguel do Guaporé (RO)","7385","Pessoas","1992","Pessoas","74","Pessoas","12047","Pessoas","136","Pessoas"
"MU","1100338","Nova Mamoré (RO)","6319","Pessoas","1966","Pessoas","52","Pessoas","16068","Pessoas","1038","Pessoas"
"MU","1100346","Alvorada D'Oeste (RO)","4437","Pessoas","1239","Pessoas","16","Pessoas","7416","Pessoas","9","Pessoas"
